ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
3544,,96 %,ÿSweden,Gothenburg,55,0, 
2654,,100 %,ÿGuernsey,St Martin,54,17, 
3516,,100 %,ÿUnknown,Roaming station,54,16, 
3840,,100 %,ÿDenmark,R›sn‘s Fyr,54,47, 
2147,,84 %,ÿSpain,S/C de Tenerife,54,48, 
2539,,100 %,ÿCanada,Noth Vancouver,54,0, 
2821,,100 %,ÿCanada,Burnaby,54,0, 
3516,,100 %,ÿUnknown,Roaming station,54,16, 
2110,,100 %,ÿGermany,Bremen,53,0, 
2867,,100 %,ÿFinland,Vantaa,53,5, 
3827,,44 %,ÿTaiwan (Province of China),Keelung,53,53, 
2187,,100 %,ÿUnited States of America,"Canada, Monterey",53,38, 
3711,,39 %,ÿAustralia,Cairns,53,53, 
3410,,100 %,ÿJapan,Aomori,53,44, 
3822,,100 %,ÿCanada,Calgary,53,0, 
2952,,100 %,ÿGermany,Hamburg,53,0, 
2689,,100 %,ÿNorway,Haugesund,53,6, 
2279,,100 %,ÿAustralia,Minyama Sunshine Coast QLD,53,47, 
2973,,100 %,ÿUnited States of America,Savannah GA,53,3, 
2165,,100 %,ÿGermany,Hamburg,52,0, 
2885,,100 %,ÿUnited Kingdom,Hartlepool,52,52, 
3075,,98 %,ÿSlovenia,Colomban,52,1, 
3997,,100 %,ÿNorway,Molde,52,28, 
3211,,100 %,ÿNew Zealand,Auckland,52,0, 
2094,,100 %,ÿNetherlands,Helmond,52,0, 
2571,,100 %,ÿNetherlands,Leens,52,0, 
2949,,100 %,ÿNorway,Bergen,52,1, 
2333,,100 %,ÿUnited Kingdom,Worldwide,51,29, 
3749,,100 %,ÿSweden,Enskede,51,0, 
3487,,100 %,ÿUnited States of America,Friday Harbor,51,4, 
2206,,100 %,ÿUnited Kingdom,Cleethorpes,51,1, 
2887,,100 %,ÿSweden,Djurhamn,51,28, 
3950,,100 %,ÿNetherlands,Amsterdam,50,1, 
2667,,100 %,ÿNetherlands,Eelde,50,7, 
3166,,99 %,ÿNetherlands,Zaandam,50,0, 
2453,,100 %,ÿNorway,Kristiansand,50,10, 
3278,,100 %,ÿUnited States of America,Maryland,50,50, 
2394,,99 %,ÿItaly,Livorno,49,2, 
3221,,100 %,ÿUnited States of America,"Mill Valley, CA",49,1, 
2209,,100 %,ÿFrance,Saint-Malo,49,49, 
3151,,100 %,ÿNorway,Trondheim,48,21, 
3083,,100 %,ÿCanada,New Westminster,48,0, 
2861,,100 %,ÿGermany,Karlsruhe,48,45,Fraunhofer IOSB
2522,,100 %,ÿFrance,Port de Bouc,48,48, 
2191,,100 %,ÿUnited Kingdom,Aberdeen,47,12, 
2023,,100 %,ÿUnited States of America,"Baltimore, Maryland",47,6, 
2567,,99 %,ÿUnited Kingdom,Plymouth,47,2, 
2282,,100 %,ÿUnited States of America,Seattle,46,5, 
3962,,100 %,ÿUnited States of America,Seattle,46,1, 
2712,,100 %,ÿIndonesia,Makassar,46,46, 
3589,,100 %,ÿNorway,Tomasjord,46,0, 
2107,,100 %,ÿBrazil,Santos,46,46, 
3076,,95 %,ÿFrance,Hegenheim,45,22, 
3031,,98 %,ÿMalta,Malta Freeport,45,7, 
3076,,95 %,ÿFrance,Hegenheim,45,22, 
2995,,41 %,ÿAustralia,Kingston,45,14, 
3646,,100 %,ÿNetherlands,Urk,45,0, 
2584,,96 %,ÿGermany,Rendsburg,45,25, 
3096,,100 %,ÿUnited Kingdom,Wirral,45,1, 
3522,,100 %,ÿUnited States of America,New York,45,0, 
3256,,100 %,ÿUnited Kingdom,Bangor,45,31, 
2996,,100 %,ÿGreece,Nea Erithrea,45,1, 
2061,,98 %,ÿBelgium,Ostend,44,0, 
2030,,100 %,ÿGermany,Rostock,44,17, 
3202,,100 %,ÿHong Kong,Tsuen Wan,44,3, 
3479,,100 %,ÿUnited States of America,San Diego,44,10, 
3574,,100 %,ÿSpain,Vigo,44,0, 
2340,,99 %,ÿSpain,Valencia,44,0, 
2199,,100 %,ÿUnited States of America,Vicksburg,44,44, 
2934,,85 %,ÿFrench Polynesia,Tahiti,44,41, 
2296,,100 %,ÿUnited Kingdom,Ramsgate,44,0, 
3845,,100 %,ÿUnited States of America,"Bellingham, WA",43,30, 
2921,,100 %,ÿNetherlands,Zeist,43,0, 
2059,,99 %,ÿPortugal,Azores,43,32, 
2485,,100 %,ÿSlovakia,Miloslavov,43,36, 
2398,,100 %,ÿGermany,Berlin,43,0, 
2796,,100 %,ÿCanada,Victoria,43,1, 
2761,,100 %,ÿNetherlands,Huissen,43,1, 
3159,,100 %,ÿNetherlands,Gendt,43,4, 
2695,,100 %,ÿFinland,Turku,42,4, 
3471,,100 %,ÿSweden,Wik-Inn Marina,42,24, 
3419,,96 %,ÿUnited States of America,"Cambridge, MA",42,13, 
3220,,100 %,ÿPoland,"Szczecin, D?bie",42,0,ALERT PLUS ?nergetyka i ?elekomunikacja
3226,,100 %,ÿPoland,Szczecin,42,0,ALERT PLUS ?nergetyka i ?elekomunikacja
3147,,100 %,ÿNorway,Troms›,42,0, 
2925,,100 %,ÿAustralia,Elizabeth,42,10, 
2377,,100 %,ÿUnited Kingdom,Poole,42,20, 
2175,,100 %,ÿGermany,Berlin Rummelsburg,41,2, 
2066,,100 %,ÿUnited Kingdom,Orkney,41,41,EMEC
