ID;Status;Uptime;Country;Location;Ships;Distinct
3429;;100 %; Netherlands;Terneuzen;23;0
3121;;100 %; Finland;Mariehamn;23;16
2628;;100 %; Sweden;Nyköping;23;5
3264;;84 %; Netherlands;Utrecht;22;0
2972;;100 %; United States of America;San Francisco;22;0
3356;;100 %; United Kingdom;Musselburgh;22;0
2560;;96 %; Netherlands;Urk;22;0
2385;;100 %; Portugal;Porto;22;0
2937;;100 %; France;Rivedoux-Plage;22;0
2317;;48 %; Canada;Maple Bay;22;0
2629;;100 %; United States of America;Monterey, CA;22;18
2639;;95 %; Spain;Calonge;22;22
3568;;100 %; France;Vabonne;22;2
2743;;100 %; United Kingdom;Little Clacton, Essex;22;0
3486;;96 %; France;Hendaye;22;20
2101;;93 %; Norway;Tysnes;21;3
2257;;100 %; Japan;Shimizu;21;21
2311;;100 %; Germany;Leer;21;18
3318;;100 %; Spain;Getxo;21;21
3918;;100 %; Georgia;Batumi;21;21
