ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
3377;;100 %; United Kingdom;Gosport;138;7; ;0,14 %;69,05 %;0,03 %;65,81 %
2221;;100 %; Norway;Stavanger;137;19; ;0,14 %;69,20 %;0,07 %;65,89 %
2610;;100 %; Germany;Kiel;137;39; ;0,14 %;69,34 %;0,15 %;66,03 %
3207;;100 %; Thailand;Bangkok;137;2; ;0,14 %;69,48 %;0,01 %;66,04 %
3537;;100 %; Poland;Bolesławiec;136;6; ;0,14 %;69,63 %;0,02 %;66,06 %
2305;;100 %; United States of America;Florida, Fort Lauderdale;136;1; ;0,14 %;69,77 %;0,00 %;66,07 %
3322;;100 %; Korea;Busan;135;8;;0,14 %;69,91 %;0,03 %;66,10 %
3836;;0 %; Indonesia;Batam;135;18; ;0,14 %;70,05 %;0,07 %;66,17 %
2443;;100 %; Netherlands;Julianadorp;134;9; ;0,14 %;70,19 %;0,03 %;66,20 %
3376;;100 %; United States of America;San Francisco;133;14; ;0,14 %;70,33 %;0,05 %;66,25 %
3412;;100 %; Netherlands;Rotterdam;133;0; ;0,14 %;70,47 %;0,00 %;66,25 %
2291;;100 %; Germany;Bremerhaven;132;2;North Sea Terminal Bremerhaven GmbH & Co.;0,14 %;70,61 %;0,01 %;66,26 %
2350;;100 %; Netherlands;Delfzijl;132;85; ;0,14 %;70,75 %;0,32 %;66,58 %
3317;;100 %; Netherlands;Veere;132;8;Marina Veere B.V.;0,14 %;70,89 %;0,03 %;66,61 %
2102;;100 %; France;Antibes;130;0; ;0,14 %;71,02 %;0,00 %;66,61 %
2278;;100 %; Argentina;Mar del Plata;130;130; ;0,14 %;71,16 %;0,49 %;67,11 %
2035;;100 %; United States of America;Seattle;130;119;Shine Micro;0,14 %;71,30 %;0,45 %;67,56 %
3673;;100 %; Spain;Barcelona;130;39; ;0,14 %;71,43 %;0,15 %;67,71 %
2087;;100 %; Germany;Duisburg;128;111; ;0,13 %;71,57 %;0,42 %;68,13 %
3142;;100 %; Unknown;Roaming station;128;0; ;0,13 %;71,70 %;0,00 %;68,13 %
2076;;100 %; Spain;Murcia;126;89;Localiz;0,13 %;71,83 %;0,34 %;68,46 %
3358;;100 %; Sweden;Gothenburg;126;0; ;0,13 %;71,96 %;0,00 %;68,46 %
3299;;97 %; Netherlands;Zwijndrecht;126;20; ;0,13 %;72,10 %;0,08 %;68,54 %
2457;;100 %; Germany;Madgeburg;126;18; ;0,13 %;72,23 %;0,07 %;68,61 %
2464;;100 %; Germany;Wentorf;125;0; ;0,13 %;72,36 %;0,00 %;68,61 %
2369;;100 %; United States of America;Seattle;125;2; ;0,13 %;72,49 %;0,01 %;68,62 %
3046;;91 %; Taiwan (Province of China);Keelung, National Taiwan Ocean University;124;124; ;0,13 %;72,62 %;0,47 %;69,09 %
2384;;100 %; Norway;Kristiansund;123;16; ;0,13 %;72,75 %;0,06 %;69,15 %
2388;;100 %; Finland;Finland;122;75;Pocket Mariner;0,13 %;72,88 %;0,28 %;69,43 %
2963;;92 %; United States of America;Anacortes, WA;121;4;CleverKathy Designs;0,13 %;73,01 %;0,02 %;69,45 %
2554;;100 %; Netherlands;Gorinchem;121;26; ;0,13 %;73,13 %;0,10 %;69,54 %
2512;;100 %; Canada;Quadra Island;121;62; ;0,13 %;73,26 %;0,24 %;69,78 %
2747;;100 %; Germany;Wilhelmshaven;121;15; ;0,13 %;73,39 %;0,06 %;69,84 %
3682;;100 %; France;UK;120;14; ;0,13 %;73,51 %;0,05 %;69,89 %
3630;;89 %; Australia;Cape Lambert;120;42; ;0,13 %;73,64 %;0,16 %;70,05 %
2523;;100 %; Netherlands;Middenbeemster;118;0; ;0,12 %;73,76 %;0,00 %;70,05 %
2139;;100 %; Denmark;Islands Brygge;117;34; ;0,12 %;73,88 %;0,13 %;70,18 %
3400;;100 %; Philippines;Paranaque;117;114; ;0,12 %;74,01 %;0,43 %;70,61 %
3597;;100 %; United States of America;Hampton Virginia;117;61; ;0,12 %;74,13 %;0,23 %;70,84 %
3198;;100 %; Norway;Jeloy, Moss;117;9; ;0,12 %;74,25 %;0,03 %;70,88 %
3428;;100 %; Spain;Valencia;117;0; ;0,12 %;74,37 %;0,00 %;70,88 %
2950;;76 %; United States of America;Anacortes, WA;115;4; ;0,12 %;74,50 %;0,02 %;70,89 %
2770;;100 %; New Zealand;Marlborough Sounds;114;88; ;0,12 %;74,62 %;0,33 %;71,22 %
3479;;100 %; United States of America;San Diego;111;15; ;0,12 %;74,73 %;0,06 %;71,28 %
2473;;100 %; Norway;Oslofjord, Fulehuk Lighthouse;111;13; ;0,12 %;74,85 %;0,05 %;71,33 %
2481;;100 %; Finland;Vaasa;109;3; ;0,11 %;74,96 %;0,01 %;71,34 %
2975;;100 %; Turkey;Fethiye;109;97; ;0,11 %;75,08 %;0,37 %;71,71 %
2335;;100 %; France;Le Havre;109;2; ;0,11 %;75,19 %;0,01 %;71,72 %
3933;;100 %; United Kingdom;Bursledon, Solent;108;4; ;0,11 %;75,30 %;0,02 %;71,73 %
2886;;100 %; Netherlands;Maassluis;108;0; ;0,11 %;75,42 %;0,00 %;71,73 %
2093;;100 %; France;Rouen;107;2; ;0,11 %;75,53 %;0,01 %;71,74 %
2559;;100 %; Netherlands;Nijmegen;107;3; ;0,11 %;75,64 %;0,01 %;71,75 %
2334;;93 %; Russian Federation;Ust-Luga;107;91; ;0,11 %;75,75 %;0,35 %;72,10 %
2912;;82 %; Belgium;Zeebruge;105;16;dotOcean;0,11 %;75,86 %;0,06 %;72,16 %
