,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
609,Portsmouth,,,,,,,,,,3154.0040000000004,2020
610,Ramsgate ,,,,,,,,,,69.321,2020
611,River Trent,,,,,,,,,,711.587,2020
612,Rivers Hull and Humber ,,,,,,,,,,10480.678000000002,2020
613,Shoreham,,,,,,,,,,1796.462,2020
614,Southampton,,,,,,,,,,27576.652000000002,2020
615,Stranraer ,,,,,,,,,,0.0,2020
616,Sullom Voe ,,,,,,,,,,6829.246,2020
617,Sunderland,,,,,,,,,,784.7710000000001,2020
618,Swansea,,,,,,,,,,430.14300000000003,2020
619,Tees and Hartlepool,,,,,,,,,,29256.448,2020
620,Tyne,,,,,,,,,,3854.8089999999997,2020
621,Warrenpoint,,,,,,,,,,3199.101,2020
622,Aberdeen,,,,,,,,,,3563.118,2021
623,Belfast,,,,,,,,,,19866.525,2021
624,Boston,,,,,,,,,,841.596,2021
625,Bristol,,,,,,,,,,7030.682000000001,2021
626,Cairnryan,,,,,,,,,,3129.025,2021
627,Cardiff,,,,,,,,,,1572.64,2021
628,Clyde,,,,,,,,,,8409.462,2021
629,Cromarty Firth ,,,,,,,,,,423.922,2021
630,Dover,,,,,,,,,,19873.849000000002,2021
631,Dundee,,,,,,,,,,451.53999999999996,2021
632,Felixstowe,,,,,,,,,,21469.378,2021
633,Fishguard,,,,,,,,,,207.065,2021
634,Fleetwood ,,,,,,,,,,0.0,2021
635,Forth,,,,,,,,,,19777.407,2021
636,Fowey,,,,,,,,,,388.119,2021
637,Glensanda,,,,,,,,,,6122.736999999999,2021
638,Goole ,,,,,,,,,,1227.923,2021
639,Great Yarmouth,,,,,,,,,,1445.285,2021
640,Grimsby and Immingham,,,,,,,,,,50027.22499999999,2021
641,Harwich,,,,,,,,,,4571.983,2021
642,Heysham,,,,,,,,,,4909.128,2021
643,Holyhead,,,,,,,,,,3757.445,2021
644,Hull,,,,,,,,,,9395.59,2021
645,Ipswich,,,,,,,,,,2312.355,2021
646,Kilroot Power Station Jetty,,,,,,,,,,494.351,2021
647,Larne,,,,,,,,,,3192.1449999999995,2021
648,Liverpool,,,,,,,,,,34454.337,2021
649,Loch Ryan,,,,,,,,,,2728.5190000000002,2021
