,port_name,Region/State,Port hub,coord_0,coord_1,Major/Minor ports,id_Port,Year,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand
132,morehead city,NC,"wilmington, nc",34.444470985915494,-77.20615211267605,,,2021.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,31.0,31.0
133,morehead city,NC,"wilmington, nc",34.444470985915494,-77.20615211267605,,,2022.0,0.0,0.0,0.0,0.0,0.0,24.23,12.0,36.23,36.23
134,nawiliwili,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,39105.95,2055.45,7727.1,25934.7,74823.2,0.0,0.0,0.0,46833.05
135,nawiliwili,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,35053.2,2540.7,7353.05,24775.5,69722.45,0.0,0.0,0.0,42406.25
136,nawiliwili,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,29906.45,2096.95,6848.45,22410.85,61262.7,0.0,0.0,0.0,36754.9
137,nawiliwili,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,33949.65,1828.7,6667.95,25741.85,68188.15,0.0,0.0,0.0,40617.6
138,nawiliwili,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,35181.9,1607.1,6515.2,28013.55,71317.75,0.0,0.0,0.0,41697.1
139,new bedford port authority,MA,"boston, ma",41.93522783018868,-70.91931396226416,,,2022.0,0.0,0.0,0.0,0.0,0.0,35.01,0.0,35.01,35.01
140,nome,AK,,,,,,2018.0,1788.15,214.3,845.6,557.5,3405.55,0.0,0.0,0.0,2633.75
141,nome,AK,,,,,,2019.0,3329.75,532.85,1050.45,697.45,5610.5,0.0,0.0,0.0,4380.2
142,nome,AK,,,,,,2020.0,2611.95,764.2,991.6,577.45,4945.2,0.0,0.0,0.0,3603.55
143,nome,AK,,,,,,2021.0,3826.45,960.4,694.3,970.0,6451.15,0.0,0.0,0.0,4520.75
144,nome,AK,,,,,,2022.0,3292.55,504.2,342.4,280.4,4419.55,0.0,0.0,0.0,3634.95
145,ocean highway and port authority,FL,"jacksonville, fl",30.624641,-81.482677,,,2021.0,0.0,0.0,0.0,0.0,0.0,623.25,1093.5,1716.75,1716.75
146,ocean highway and port authority,FL,"jacksonville, fl",30.624641,-81.482677,,,2022.0,0.0,0.0,0.0,0.0,0.0,253.5,0.0,253.5,253.5
147,old harbor,AK,,,,,,2021.0,0.0,0.0,0.0,0.0,0.0,33.0,7181.04,7214.04,7214.04
148,old harbor,AK,,,,,,2022.0,0.0,0.0,0.0,0.0,0.0,22.0,1651.0,1673.0,1673.0
149,oxnard harbor district,CA,"great los angeles, ca",33.804338012958965,-118.37905453563714,,,2021.0,0.0,0.0,0.0,0.0,0.0,114204.72,26607.74,140812.46,140812.46
150,oxnard harbor district,CA,"great los angeles, ca",33.804338012958965,-118.37905453563714,,,2022.0,0.0,0.0,0.0,0.0,0.0,135735.46,62093.26,197828.72,197828.72
151,panama city port authority,FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2018.0,0.0,0.0,0.0,0.0,0.0,15489.38,7055.43,22544.81,22544.81
152,panama city port authority,FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2019.0,0.0,0.0,0.0,0.0,0.0,17043.88,6407.67,23451.55,23451.55
153,panama city port authority,FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2020.0,0.0,0.0,0.0,0.0,0.0,25537.81,5632.24,31170.05,31170.05
154,panama city port authority,FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2021.0,0.0,0.0,0.0,0.0,0.0,26042.56,6366.53,32409.09,32409.09
155,panama city port authority,FL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2022.0,0.0,0.0,0.0,0.0,0.0,24399.7,6251.19,30650.89,30650.89
156,petersburg,AK,,,,,,2018.0,24293.0,9642.3,52829.35,23797.45,110562.1,0.0,0.0,0.0,77122.35
157,petersburg,AK,,,,,,2019.0,23546.75,10337.3,51146.65,25109.1,110139.8,0.0,0.0,0.0,74693.4
158,petersburg,AK,,,,,,2020.0,23199.2,7479.7,48644.3,23708.6,103031.8,0.0,0.0,0.0,71843.5
159,petersburg,AK,,,,,,2021.0,26342.8,9576.75,51306.9,24160.15,111386.6,0.0,0.0,0.0,77649.7
160,petersburg,AK,,,,,,2022.0,26971.6,10731.85,55735.35,25143.85,118582.65,0.0,0.0,0.0,82706.95
161,philadelphia regional port authority,PA,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2018.0,18220.75,9354.15,24438.2,1855.9,53869.0,353975.51,85228.77,439204.28,481863.23000000004
162,philadelphia regional port authority,PA,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2019.0,63106.65,22553.4,59632.0,2648.9,147940.95,357215.65,74400.15000000001,431615.8,554354.45
163,philadelphia regional port authority,PA,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2020.0,158.0,0.0,150.0,0.0,308.0,435358.39,95273.49,530631.88,530939.88
164,philadelphia regional port authority,PA,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2021.0,17657.0,0.0,18589.0,0.0,36246.0,690249.87,134964.59,825214.46,861460.46
165,philadelphia regional port authority,PA,"baltimore, md, filadelfia, pa",39.16201698275862,-76.08407508620691,,,2022.0,23165.5,6196.7,31805.75,9136.9,70304.85,723361.5599999999,154558.18,877919.74,932890.99
166,plaquemines port,LA,"new orleans, lo",29.635235045806905,-90.30409463002114,,,2021.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0
167,plaquemines port,LA,"new orleans, lo",29.635235045806905,-90.30409463002114,,,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0
168,port arthur,TX,"houston/galveston, tx",29.602093408239703,-94.66715344569288,,,2021.0,0.0,0.0,0.0,0.0,0.0,84.88,0.99,85.87,85.87
